example_id,nl_query,gold_query
e45,Display the ids of users that own more than 20 assets.,"select source_node_id, count(*) from edge_own group by source_node_id having count(*) > 20"
e46,Show the tables that were derived from json files.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'json'
e47,Find all tables in the lake derived from json files.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'json'
e48,Find all tables in the lake derived from json files and have more than 50 columns.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'json' and t3.num_cols > 50
e49,Find the mean size of files created in the last 30 days for each user?,"select t1.short_name, avg(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
e50,What is the average size of all files created in the last 30 days for each owner account?,"select t1.short_name, sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name"
e51,Show all records for the classification labeled 'state'.,select * from node_classification where short_name = 'state'
e52,Find the records tagged with the 'state' classification.,select * from node_classification where short_name = 'state'
e53,Show all tables that contain less than 10 columns.,select short_name from node_table where num_cols < 10
e54,Print the names of tables that have fewer than 10 columns.,select short_name from node_table where num_cols < 10
e55,Select the directory name and last modified date for all directories.,"select short_name, modified_date from node_directory"
e56,Print names of all the fact tables.,select short_name from node_table where short_name like '%fact%'
e57,How many rows and columns does the prod desc table have?,"select num_rows, num_cols from node_table where short_name = 'fact_additional_international_product_description'"
e58,Order all columns in the lake by their last modified timestamp.,"select short_name, modified_date from node_column order by modified_date desc"
e59,Show the creation date and last modified date for the 10 biggest tables in the lake by the number of rows.,"select short_name, creation_date, modified_date, num_rows from node_table order by num_rows desc limit 10"
e60,Give me the creation date and last modified date for the 25 biggest tables in the lake by the number of columns.,"select short_name, creation_date, modified_date, num_rows from node_table order by num_cols desc limit 25"
e61,List all csv files in the directory 'part5'.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part5' and t3.extension = 'csv'
e62,Print the names of all files in shard number 5.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part5'
e63,Give me all the json files in part4.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part4' and t3.extension = 'json'
e64,Find records for all columns named 'e_date'.,select * from node_column where short_name = 'e_date'
e65,Print all details for every edate column in the lake.,select * from node_column where short_name = 'e_date'
e66,List all records for the tables named 'fact_sales_quota'.,select * from node_table where short_name = 'fact_sales_quota'
e67,Print metadata records for fsq table.,select * from node_table where short_name = 'fact_sales_quota'
e68,How many columns does the model illustration table have?,select num_cols from node_table where short_name = 'model_illustration'
e69,"Print the name, description, number of rows and number of columns for all tables.","select short_name, description, num_rows, num_cols from node_table"
e70,"Display the type id, creation date and last modified date for every asset in the lake.","select short_name, type_id, creation_date, modified_date from node"
e71,What are all the business terms associated with columns in the lake?,select long_name from node_business_term
e72,List all assets owned by 'cslab'.,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
e73,Which assets are owned by the lab?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
e74,Give me all cslab assets.,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
e75,List all tables owned by 'biz_api' that were created in the past one year.,"select t3.short_name, t3.creation_date from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'biz_api' and t1.creation_date >= now() - interval '365 days'"
e76,Print the tables owned by the Business API group that were created in the past one year.,"select t3.short_name, t3.creation_date from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'jdoe' and t1.creation_date >= now() - interval '365 days'"
e77,Which are the tables owned by the Business API group?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'biz_api'
e78,How many total relations are represented in the data lake?,select count(*) from edge
e79,Count the edges in the lake.,select count(*) from edge
e80,Give me the name and description of all databases in the lake.,"select short_name, description from node_database"
e81,Show the average size of a file directly inside each folder in the lake.,"select t1.short_name, avg(t3.fsize)  from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e82,Print the mean size of a file directly inside each folder in the lake.,"select t1.short_name, avg(t3.fsize)  from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e83,Which assets have the word 'scenario' in their name or description?,"select short_name, description from node where short_name like '%scenario%' or description like '%scenario%'"
e84,Which nodes have the ternm 'subcat' in it's name or description?,"select short_name, description from node where short_name like '%subcat%' or description like '%subcat%'"
e85,What are the files and folders directly under folder 'sales'?,select t3.short_name from node_directory as t1 join edge_has as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'sales'
e86,What are the files and folders directly under HR folder?,select t3.short_name from node_directory as t1 join edge_has as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'human_resources'
e87,What is the average size of a file within each folder?,"select t1.node_id, t1.short_name, avg(t3.fsize)  from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e88,Find the mean size of a file for each folder?,"select t1.node_id, t1.short_name, avg(t3.fsize)  from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e89,Find all records for the table named 'bill_of_materials'.,select * from node_table where short_name = 'bill_of_materials'
e90,Show all metadata for BOM table.,select * from node_table where short_name = 'bill_of_materials'
e91,Show the number of assets owned by all accounts that have a description.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t1.description <> '' group by t1.node_id, t1.short_name"
e92,"For each account that has a description, give me the number of assets owned.","select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t1.description <> '' group by t1.node_id, t1.short_name"
e93,List all assets whose name contains the word 'voter'.,select short_name from node where short_name like '%voter%'
e94,Sort all relational databases created in the past week from oldest to newest.,"select short_name, creation_date from node_rdbms where creation_date >= now() - interval '7 days' order by creation_date asc"
e95,Show the type ids and counts for each asset type that contains more than 25 instances.,"select type_id, count(*) from node group by type_id having count(*) > 25"
e96,Show the type and count of instances for each node type that contains more than 25 instances.,"select type_name, count(*) from node group by type_name having count(*) > 25"
e97,Give the average folder size for each asset owner.,"select t1.node_id, t1.short_name, avg(t3.dsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e98,Print the mean directory size for each asset owner account.,"select t1.node_id, t1.short_name, avg(t3.dsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e99,How many sub directories are under each directory identified by it's id.,"select source_node_id, count(*) from edge_has_dir_dir group by source_node_id "
e100,"For each directory node id, count the number of directory node edges.","select source_node_id, count(*) from edge_has_dir_dir group by source_node_id "
e101,Show the number of columns associated with all business terms that have the word 'customer' in their names.,"select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like '%customer%' group by t1.node_id, t1.short_name"
e102,"For every business term that has the word 'customer' in it, count the number of columns associated with it.","select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having t1.short_name like '%customer%'"
e103,Count the number of tables derived from each source table id.,"select source_node_id, count(*) from edge_derive_table_table group by source_node_id"
e104,Show me all metadata for a sample of 5 business terms.,select * from node_business_term limit 5
e105,How many assets does the lake contain?,select count(*) from node
e106,"For each folder, count the number of assets immediately inside it.","select t1.short_name, count(*) from node_directory as t1 join edge_has as t2 on t1.node_id = t2.target_node_id join node as t3 on t2.source_node_id = t3.node_id group by t1.short_name"
e107,Count the number of edges for each directory node.,"select t1.short_name, count(*) from node_directory as t1 join edge_has as t2 on t1.node_id = t2.target_node_id join node as t3 on t2.source_node_id = t3.node_id group by t1.node_id"
e108,List tables that have more than 10 columns.,select short_name from node_table where num_cols > 10
e109,Print the name and number of columns for every table that has more than 10 columns.,"select short_name, num_cols from node_table where num_cols > 10"
e110,Show short name and long name for the table from file 'business_entity_address',"select t3.short_name, t3.long_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'business_entity_address'"
e111,Display the name and description for all databases.,"select short_name, description from node_database"
e112,List the number of assets owned by each user.,"select t1.node_id, t1.short_name, count(*) from node as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id"
e113,How many assets does each user possess?,"select t1.node_id, t1.short_name, count(*) from node as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id"
e114,"List the name, description and creation date for all databases.","select short_name, description, creation_date from node_database"
e115,What is the total size of all files owned by an asset owner for all asset owners who own more than 5 files.,"select t1.node_id, t1.short_name, count(*), sum(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) > 5"
e116,Print the average size of a file owned by each user if they own more than 5 files.,"select t1.short_name, avg(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) > 5"
e117,Display the description and number of tables for all relational databases.,"select short_name, description, num_tables from node_rdbms"
e118,Show the names and descriptions for the last 10 directories that were modified.,"select short_name, description, modified_date from node_directory order by modified_date desc limit 10"
e119,Print all files in the persons folder.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'person'
e120,Give me the names of files in the HR folder.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'human_resources'
e121,Display the names of files in the sales or purchasing folders.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'sales' or t1.short_name = 'purchasing'
e122,List creation timestamps for all folders.,"select short_name, creation_date from node_directory"
e123,Show all directories that contain the term 'weather' in it's name or description.,select short_name from node_directory where short_name like '%weather%' or description like '%weather%'
e124,Display the names of directories that contain the term 'sales' in it's name or description.,select short_name from node_directory where short_name like '%sales%' or description like '%sales%'
e125,"For each table, show the number of tables derived from it.","select t1.short_name, count(*) from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
e126,Show the number of tables derived from each table in the lake.,"select t1.short_name, count(*) from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
e127,"For each table, how many tables are derived from it? Print the name as well as description of the source table.","select t1.short_name, t1.description, count(*) from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name, t1.description"
e128,Show the names of all the derived tables in the lake.,select distinct t1.short_name from node as t1 join edge_derive_table_table as t2 on t1.node_id = t2.target_node_id
e129,Give me the names and descriptions of all the derived tables.,"select distinct t1.short_name, t1.description from node as t1 join edge_derive_table_table as t2 on t1.node_id = t2.target_node_id"
e130,Show the column names and descriptions for all columns in the currency rate table.,"select t3.short_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'new_fact_currency_rate'"
e131,Show the column names and descriptions for all columns in the 'prospective_buyer' report table.,"select t3.short_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'prospective_buyer'"
e132,Show all the tables that were derived from excel files.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'xlsx'
e133,Display the tables derived from excel files.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = '.xlsx'
e134,Count the number of columns of each type in the promotions table.,"select col_type, count(*) from node_column where short_name = 'dim_promotion' group by col_type"
e135,How many columns of each type are present in the 'dim_sales_reason' table?,"select col_type, count(*) from node_column where short_name = 'dim_sales_reason' group by col_type"
e136,Show the last modified timestamp for all the tables.,"select short_name, modified_date from node_table"
e137,Show all directories which a mean subdirectory size greater than 5kb.,"select t1.short_name, avg(t3.dsize)  from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having avg(t3.dsize) > 5"
e138,Give me the names and long names of all directories which have a mean subdirectory size greater than 5kb.,"select t1.short_name, t1.description, avg(t3.dsize) from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name, t1.description having avg(t3.dsize) > 5"
e139,How many columns does the taxi zones table have?,select num_cols from node_table where short_name = 'taxi_zones'
e140,Find all assets with the term 'nyc' in it's name or description.,"select short_name, description from node where short_name like '%nyc%' or description like '%nyc%'"
e141,What is the average size of a file with each extension type?,"select extension, avg(fsize) from node_file group by extension"
e142,Calculate the average size of a file for each file extension.,"select extension, avg(fsize) from node_file group by extension"
e143,What is the aveerage file size for each different extension.,"select extension, avg(fsize) from node_file group by extension"
e144,Find the average size of a file for each different extension.,"select extension, avg(fsize) from node_file group by extension"
e145,Find all records for columns named 'borough'.,select * from node_column where short_name = 'borough'
e146,Order all nosql databases in the lake by their creation date.,"select short_name, creation_date from node_nosql order by creation_date asc"
e147,Show me the number of columns in each table whose name contains the prefix 'vehicle'.,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like 'vehicle%' group by t1.node_id, t1.short_name"
e148,Show me the number of columns in each table whose name contains the prefix 'dim'.,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like 'dim%' group by t1.node_id, t1.short_name"
e149,List directories that have the word 'person' in their name or description.,"select short_name, description from node_directory where short_name like '%person%' or description like '%person%'"
e150,Show the number of columns that each classification is associated with.,"select t1.node_id, t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
e151,Count the number of classification tags for each column.,"select t1.node_id, t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
e152,List all asset owners who own more than 20 assets created in the past 30 days.,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name having count(*) > 20"
e153,Print the name of every user that owns more than 20 assets created in the past 30 days.,"select t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '30 days' group by t1.node_id, t1.short_name having count(*) > 20"
e154,How many columns are associated with each classification that contains 'water' as a prefix?,"select t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having t1.short_name like 'water%'"
e155,Count the number of columns tagged with a classification that has 'subcat' as a prefix.,"select t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like 'subcat%' group by t1.node_id, t1.short_name"
e156,Show the creation dates and descriptions for all classification assets.,"select short_name, creation_date, description from node_classification"
e157,"For each folder, print the average size of a subfolder.","select t1.node_id, t1.short_name, avg(t3.dsize)  from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e158,Calculate the average size of a subfolder within each folder.,"select t1.node_id, t1.short_name, avg(t3.dsize)  from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e159,Show the creation date and description for the credit card id column.,"select creation_date, description from node_column where short_name = 'ccid'"
e160,"Print the creation date, last modification date, column type and description for the credit card id column.","select creation_date, modified_date, col_type, description from node_column where short_name = 'ccid'"
e161,Show metadata records for all folders in the lake.,select * from node_directory
e162,Order all nosql databases in the lake by their last modified timestamp.,"select short_name, modified_date from node_nosql order by modified_date desc"
e163,Sort all the non-relational databases in the lake by their last modified timestamp.,"select short_name, modified_date from node_nosql order by modified_date desc"
e164,What is the creation date of every nosql database?,"select short_name, creation_date from node_nosql"
e165,Print the description and creation dates for all labels.,"select short_name, description, creation_date from node_label"
e166,How many columns does each table in the lake contain?,"select short_name, num_cols from node_table"
e167,"For each table, print the number of columns.","select short_name, num_cols from node_table"
e168,How many files does the lake contain?,select count(*) from node_file
e169,Find all tables with 'workforce' in the name or description,select * from node_table where short_name like '%workforce%' or description like '%workforce%'
e170,Count the number of columns within each table associated with the classification 'zipcode'.,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join edge_assoc_class_col as t3 on t2.target_node_id = t3.target_node_id join node_classification as t4 on t3.source_node_id = t4.node_id where t4.short_name = 'zipcode' group by t1.node_id, t1.short_name"
e171,Show all relational databases that contain more than 10 tables.,select short_name from node_rdbms where num_tables > 10
e172,What is the average size of a subfolder in each folder?,"select t1.node_id, t1.short_name, avg(t3.dsize)  from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
e173,List the top 10 people who own the most databases.,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_database as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name order by count(*) limit 10"
